MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
PUEBLA,1380,388,117,14,41,27,16,232,52,9,10,3,85,4,10,6,1049,2668,BAJA (A)
AJALPAN,83,390,63,34,68,44,9,294,23,10,2,1,57,7,7,5,1045,2894,BAJA (A)
ZACATLAN,2472,104,334,13,195,65,7,185,1,0,0,0,33,15,12,3,1045,2504,BAJA (A)
ZACATLAN,2478,168,289,14,136,97,15,190,16,5,4,1,57,8,14,2,1041,3569,BAJA (A)
CHICONCUAUTLA,428,129,209,17,62,52,12,410,1,1,0,0,8,3,5,8,1040,2191,BAJA (A)
ACAJETE,8,66,739,11,35,25,9,60,10,2,1,0,23,6,2,2,1039,3121,BAJA (A)
PUEBLA,1588,265,202,8,49,27,22,231,57,7,4,0,96,13,8,5,1036,4106,BAJA (A)
QUIMIXTLAN,1629,362,287,3,65,16,5,224,2,1,0,1,13,8,9,8,1034,1991,BAJA (A)
CUAUTLANCINGO,328,364,166,11,36,11,19,223,70,5,6,1,65,6,8,5,1031,2865,BAJA (A)
PUEBLA,1606,269,205,14,82,32,13,249,46,3,11,0,65,7,12,6,1030,3699,BAJA (A)
VENUSTIANO CARRANZA,2343,379,20,11,79,26,28,320,32,6,5,1,69,8,12,5,1030,2107,BAJA (A)
PUEBLA,1033,446,84,17,51,26,13,205,67,7,2,0,54,4,13,8,1029,2710,BAJA (A)
VENUSTIANO CARRANZA,2344,376,28,11,79,30,24,314,34,6,5,0,65,6,10,14,1028,1863,BAJA (A)
